Prefix,Course Title,Section,Class Number,Days & Times,Bldg & Room
BIOLOGY,106 [BSCI] Introductory Biology: Organismal Biology,01,01522,"M,W,F15.10-16",TCIC 216
BIOLOGY,106 [BSCI] Introductory Biology: Organismal Biology,01 Lab,01535,TH8-10.50,TBSL 171
BIOLOGY,106 [BSCI] Introductory Biology: Organismal Biology,02 Lab,01536,TH11.20-14.10,TBSL 171
BIOLOGY,106 [BSCI] Introductory Biology: Organismal Biology,03 Lab,01552,TH14.40-17.30,TBSL 171
BIOLOGY,106 [BSCI] Introductory Biology: Organismal Biology,04 Lab,01714,TH18-20.50,TBSL 171
BIOLOGY,140 [BSCI] Introduction to Nutritional Science,01,01481,"M,W7.45-9",TCIC 216
BIOLOGY,301 General Genetics,01,01385,"M,W,F12.10-13",TFLO 252
BIOLOGY,301 General Genetics,M11.10-12,TFLO 252, ,""
BIOLOGY,301 General Genetics,03,13049,"M,W,F12.10-13",TFLO 252
BIOLOGY,301 General Genetics,M13.10-14,TFLO 230, ,""
BIOLOGY,352 Cells,01,02084,"TU,TH10.35-11.50",TEST 208
BIOLOGY,354 Human Anatomy for Health Occupations,01,01443,"M,W,F13.10-14",TCIC 210
BIOLOGY,354 Human Anatomy for Health Occupations,01 Lab,01444,M15.10-18,TBSL 171
BIOLOGY,354 Human Anatomy for Health Occupations,02 Lab,01445,W14.40-17.30,TBSL 171
BIOLOGY,354 Human Anatomy for Health Occupations,03 Lab,01503,W18-20.50,TBSL 171
BIOLOGY,372 [M] General Ecology,01,01394,"TU,TH12.05-13.20",TFLO 252
BIOLOGY,372 [M] General Ecology,01 Lab,01395,F8-10.50,TEST 113
BIOLOGY,372 [M] General Ecology,02 Lab,01396,F13.10-16,TEST 113
BIOLOGY,372 [M] General Ecology,04 Lab,02303,W8-10.50,TEST 113
BIOLOGY,401 [CAPS] Plants and People,01,01523,"TU,TH9.10-10.25",TFLO 133
BIOLOGY,420 Plant Physiology,01,01483,"TU,TH12.05-13.20",AMS TRI
BIOLOGY,420 Plant Physiology,02,02384,"TU,TH12.05-13.20",AMS ARR
BIOLOGY,430 Methods of Teaching Secondary Science I,01,15736,TH17.15-20,GUC TRI
BIOLOGY,489 [CAPS] [M] Synthesis and Communication of Independent Research,01,16447,ARRGT,ARR ARR
BIOLOGY,"495 Internship in Biology, Botany, and Zoology",01,02296,ARRGT,ARR ARR
BIOLOGY,499 Special Problems,01,01376,ARRGT,ARR ARR
BIOLOGY,568 Conservation Ecology,01,13454,"TU,TH10.35-11.50",AMS TRI
BIOLOGY,585 Professional Development and Training for College and University Teaching,01,01576,ARRGT,ARR ARR
BIOLOGY,589 Advanced Topics in Biology,01,01580,W12.10-13,AMS TRI
BIOLOGY,600 Special Projects or Independent Study,01,01570,ARRGT,ARR ARR
BIOLOGY,"700 Master's Research, Thesis, and/or Examination",01,01377,ARRGT,ARR ARR
BIOLOGY,"702 Master's Special Problems, Directed Study and/or Examination",01,01513,ARRGT,ARR ARR
BIOLOGY,"800 Doctoral Research, Dissertation, and/or Examination",01,01378,ARRGT,ARR ARR
BSYSE,530 Machine Vision for Biological Systems,01,01645,"W,F14.10-15.25",AMS TRI
BSYSE,593 Renewable Energy Technologies,01,12007,W10.10-12.40,AMS TRI
BSYSE,596 Biomass Thermo-Chemical Conversion,01,02083,M8.10-10.40,AMS TRI
BSYSE,597 Biomass Biological Process Engineering,01,12004,M9.10-11.55,AMS TRI
BSYSE,598 Graduate Seminar,01,01226,TH16.10-17,AMS TRI
BSYSE,"700 Master's Research, Thesis, and/or Examination",01,01234,ARRGT,ARR ARR
BSYSE,"800 Doctoral Research, Dissertation, and/or Examination",01,01236,ARRGT,ARR ARR
CE,211 Statics,01,01509,"TU,TH17.45-19",TFLO 252
CE,302 Introduction to Surveying,01,01275,M9.10-10,TFLO 239
CE,302 Introduction to Surveying,01 Lab,01276,W9.10-12,TFLO 239
CE,315 Fluid Mechanics,01,01277,"M,W17.45-19",TBSL 101
CE,317 [M] Geotechnical Engineering I,01,01278,"TU,TH12.05-13.20",TBSL 104
CE,317 [M] Geotechnical Engineering I,01 Lab,01279,W12.10-15,TBSL 104
CE,330 Introduction to Structural Engineering,01,01280,"TU,TH13.30-14.45",TBSL 104
CE,341 Introduction to Environmental Engineering,01,01281,"TU,TH7.45-9",TBSL 104
CE,405 Decision-Making for Sustainable and Resilient Civil Infrastructure,01,02070,"TU,TH17.45-19",TBSL 102
CE,433 Reinforced Concrete Design,01,01616,"TU,TH10.35-11.50",TBSL 103
CE,451 Open Channel Flow,01,01285,"TU,TH9.10-10.25",TBSL 103
CE,463 Engineering Administration,01,01287,"M,W16.15-17.30",TBSL 102
CE,465 [CAPS] [M] Integrated Civil Engineering Design,01,13450,F16.10-17,TBSL 102
CE,465 [CAPS] [M] Integrated Civil Engineering Design,01 Lab,13478,"M,F13.10-16",TBSL 102
CE,475 Groundwater,01,12740,"M,W12.10-13",TBSL 103
CE,475 Groundwater,01 Lab,12922,W8-10.50,TEST 111
CE,480 [M] Ethics and Professionalism,01,01288,TU8.10-9,TBSL 103
CE,495 Engineering Experience,01,01289,ARRGT,ARR ARR
CE,499 Special Problems,01,01290,ARRGT,ARR ARR
CE,505 Decision-Making for Sustainable and Resilient Civil Infrastructure,01,02071,"TU,TH17.45-19",TBSL 102
CE,541 Physicochemical Water and Wastewater Treatment,01,01560,"TU,TH16.20-17.35",TBSL 102
CE,551 Open Channel Flow,01,01286,"TU,TH9.10-10.25",TBSL 103
CE,580 Graduate Seminar,01,01505,F11.10-12,TBSL 102
CE,600 Special Projects or Independent Study,01,01506,ARRGT,ARR ARR
CE,"700 Master's Research, Thesis and/or Examination",01,01291,ARRGT,ARR ARR
CE,"702 Master's Special Problems, Directed Study, and/or Examination",01,01292,ARRGT,ARR ARR
CE,"800 Doctoral Research, Dissertation, and/or Examination",01,01293,ARRGT,ARR ARR
CES,235 [HUM] African American History,01,13451,"TU,TH9.10-10.25",TEST 208
CHE,461 Introduction to Nuclear Engineering,01,01347,"TU,TH16.20-17.35",AMS TRI
CHE,475 Introduction to Biochemical Engineering,01,15630,"M,W,F10.10-11",AMS TRI
CHE,510 Transport Processes,01,01220,"M,W,F9.10-10",AMS TRI
CHE,560 Biochemical Engineering,01,15605,ARRGT,ARR ARR
CHE,581 Advanced Topics in Chemical Engineering,01,15615,"TU,TH13.30-14.45",AMS TRI
CHE,581 Advanced Topics in Chemical Engineering,02,15616,"M,W,F11-11.50",AMS TRI
CHE,596 Research Methods and Presentation,01,01221,"TU,TH9.10-10.25",AMS TRI
CHE,598 Research Seminar,01,01222,M16.10-17,AMS TRI
CHE,"700 Master's Research, Thesis, and/or Examination",01,01223,ARRGT,ARR ARR
CHE,"702 Master's Special Problems, Directed Study, and/or Examination",01,01224,ARRGT,ARR ARR
CHE,"800 Doctoral Research, Dissertation, and/or Examination",01,01225,ARRGT,ARR ARR
CHEM,101 [PSCI] Introduction to Chemistry,01,01435,"M,W,F9.10-10",TCIC 216
CHEM,101 [PSCI] Introduction to Chemistry,01 Lab,01436,W11.20-14.10,TBSL 173
CHEM,101 [PSCI] Introduction to Chemistry,02 Lab,01437,W14.40-17.30,TBSL 173
CHEM,101 [PSCI] Introduction to Chemistry,03 Lab,01438,TH8-10.50,TBSL 173
CHEM,105 [PSCI] Principles of Chemistry I,01,01446,"M,W,F14.10-15",TCIC 216
CHEM,105 [PSCI] Principles of Chemistry I,01 Lab,01447,TU8-10.50,TBSL 173
CHEM,105 [PSCI] Principles of Chemistry I,02 Lab,01448,TU11.20-14.10,TBSL 173
CHEM,105 [PSCI] Principles of Chemistry I,03 Lab,01449,TU14.40-17.30,TBSL 173
CHEM,105 [PSCI] Principles of Chemistry I,04 Lab,01450,W8-10.50,TBSL 173
CHEM,345 Organic Chemistry I,01,01439,"TU,TH10.35-11.50",TEST 207
CHEM,345 Organic Chemistry I,01 Lab,01440,TH14.40-17.30,TBSL 173
CHEM,345 Organic Chemistry I,02 Lab,01441,TH18-20.50,TBSL 173
CHEM,345 Organic Chemistry I,03 Lab,01573,F11.20-14.10,TBSL 173
CHEM,345 Organic Chemistry I,04 Lab,02208,W18-20.50,TBSL 173
CHEM,499 Special Problems,01,01379,ARRGT,ARR ARR
COM,102 [COMM] Public Speaking in the Digital Age,01,01478,"TU,TH12.05-13.20",TFLO 131
COM,102 [COMM] Public Speaking in the Digital Age,02,01689,"M,W,F10.10-11",TFLO 252
COMHLTH,571 Communicating Health in Practice,01,02353,ARRGT,ARR ARR
COMHLTH,572 Communicating Health to Specialized Populations,01,15352,ARRGT,ARR ARR
CPT_S,111 [QUAN] Introduction to Computer Programming,01,15157,"TU,TH16.20-17.10",TCIC 217
CPT_S,111 [QUAN] Introduction to Computer Programming,01 Lab,15158,F16.10-19,TCIC 219
CPT_S,121 Program Design and Development C/C++,01,01294,"M,W16.15-17.30",TBSL 101
CPT_S,121 Program Design and Development C/C++,01 Lab,01295,F16.10-19,TFLO 145
CPT_S,223 Advanced Data Structures C/C++,01,01296,"M,W16.15-17.30",TBSL 104
CPT_S,224 Programming Tools,01,01297,"TU,TH16.20-17.10",TFLO 131
CPT_S,260 Introduction to Computer Architecture,01,01298,"TU,TH14.55-16.10",TBSL 104
CPT_S,302 Professional Skills in Computing and Engineering,01,01299,"M,W17.45-19",GUC TRI
CPT_S,315 Introduction to Data Mining,02,15160,"TU,TH13.30-14.45",AMS TRI
CPT_S,317 Automata and Formal Languages,01,01301,"M,W,F14.10-15",TBSL 103
CPT_S,411 Introduction to Parallel Computing,01,01668,"TU,TH12.05-13.20",AMS TRI
CPT_S,415 Big Data,02,15577,"M,W,F16.10-17",AMS TRI
CPT_S,421 Software Design Project I,01,02255,TU16.20-17.10,TBSL 104
CPT_S,421 Software Design Project I,01 Lab,02256,ARRGT,ARR ARR
CPT_S,422 [M] Software Engineering Principles II,01,01302,"M,W,F15.10-16",TBSL 103
CPT_S,427 Computer Security,01,01518,"M,W,F12.10-13",AMS TRI
CPT_S,440 Artificial Intelligence,01,01303,"TU,TH9.10-10.25",AMS TRI
CPT_S,453 Graph Theory,01,01717,"M,W,F14.10-15",AMS TRI
CPT_S,455 Introduction to Computer Networks,01,01625,"M,W16.15-17.30",TFLO 244
CPT_S,460 Operating Systems and Computer Architecture,01,01305,"M,W17.45-19",TBSL 103
CPT_S,481 Python Software Construction,01,02069,"TU,TH12.05-13.20",AMS TRI
CPT_S,483 Topics in Computer Science,01,15159,"M,W16.15-17.30",AMS TRI
CPT_S,489 Web Development,01,15578,"M,W,F14.10-15",AMS TRI
CPT_S,490 Work Study Internship,01,01308,ARRGT,ARR ARR
CPT_S,499 Special Problems,01,01309,ARRGT,ARR ARR
CPT_S,527 Computer Security,01,01519,"M,W,F12.10-13",AMS TRI
CPT_S,540 Artificial Intelligence,01,01304,"TU,TH9.10-10.25",AMS TRI
CPT_S,553 Graph Theory,01,01718,"M,W,F14.10-15",AMS TRI
CPT_S,600 Special Projects or Independent Study,01,01311,ARRGT,ARR ARR
CPT_S,"700 Master's Research, Thesis, and/or Examination",01,01312,ARRGT,ARR ARR
CPT_S,"702 Master's Special Problems, Directed Study, and/or Examination",01,01313,ARRGT,ARR ARR
CPT_S,"800 Doctoral Research, Dissertation, and/or Examination",01,01314,ARRGT,ARR ARR
CROP_SCI,102 Introduction to Cultivated Plants,01,01516,"M,W,F11.10-12",AMS TRI
CROP_SCI,411 [M] Crop Environment Interactions,01,02108,"M,W,F10.10-11",AMS TRI
CROP_SCI,495 Research Experience,01,01432,ARRGT,ARR ARR
CST_M,254 Construction Graphics,01,01306,M11.10-12,TBSL 103
CST_M,254 Construction Graphics,01 Lab,01307,TU16.20-18.10,TBSL 103
DTC,101 [ARTS] Introduction to Digital Technology & Culture,01,01388,"M,W,F9.10-10",TFLO 235
DTC,101 [ARTS] Introduction to Digital Technology & Culture,02,01577,"M,W,F12.10-13",TFLO 235
DTC,201 [ARTS] Tools and Methods for Digital Technology,01,01554,"M,W,F13.10-14",TFLO 235
DTC,206 [DIVR] Digital Inclusion,01,02249,"M,W14.10-15",TCIC 214
DTC,355 [M] Multimedia Authoring,02,02034,"TU,TH9.10-10.25",TFLO 235
DTC,"375 [M] Language, Texts and Technology",01,01633,"M,W,F13.10-14",TFLO 243
DTC,475 [DIVR] Digital Diversity,02,13992,ARRGT,ARR ARR
DTC,497 [CAPS] Senior Seminar,01,02366,ARRGT,ARR ARR
DTC,498 Internship,01,01389,ARRGT,ARR ARR
DTC,499 Special Problems,01,01390,ARRGT,ARR ARR
E_A,300 Educ Abroad,01,01231,ARRGT,ARR ARR
E_A,301 Educ Abroad,01,02375,ARRGT,ARR ARR
E_E,214 Design of Logic Circuits,01,01322,"M,W16.15-17.30",TBSL 103
E_E,214 Design of Logic Circuits,01 Lab,01323,M17.40-20.30,TFLO 164
E_E,302 Professional Skills in Computing and Engineering,01,01300,"M,W17.45-19",GUC TRI
E_E,311 Electronics,01,01325,"TU,TH16.20-17.35",TBSL 101
E_E,321 Electrical Circuits II,01,01326,"M,W,F15.10-16",TBSL 104
E_E,331 Electromagnetic Fields and Waves,01,01327,"M,W,F14.10-15",TFLO 231
E_E,352 [M] Electrical Engineering Laboratory I,01,01357,TU12.05-12.55,TBSL 103
E_E,352 [M] Electrical Engineering Laboratory I,01 Lab,01358,"TU,TH13.30-16.20",TFLO 164
E_E,415 Design Project Management,01,01328,F16.10-17,TFLO 239
E_E,415 Design Project Management,01 Lab,01329,F13.10-15.55,TFLO 161
E_E,415 Design Project Management,F17.10-19.55,TFLO 161, ,""
E_E,455 Introduction to Computer Networks,01,01627,"M,W16.15-17.30",TFLO 244
E_E,464 Digital Signal Processing I,01,02246,"TU,TH14.55-16.10",TBSL 103
E_E,489 Introduction to Control Systems,01,01330,"TU,TH13.30-14.45",TBSL 103
E_E,491 Performance of Power Systems,01,01495,"TU,TH12.05-13.20",TFLO 239
E_E,495 Internship in Electrical Industry,01,01331,ARRGT,ARR ARR
E_E,499 Special Problems,01,01333,ARRGT,ARR ARR
E_E,507 Random Processes in Engineering,01,16107,"TU,TH14.55-16.10",TFLO 223
E_E,521 Analysis of Power Systems,01,02106,"TU,TH10.35-11.50",TBSL 104
E_E,595 Directed Study in Electrical Engineering,01,01334,ARRGT,ARR ARR
E_E,600 Special Projects or Independent Study,01,01335,ARRGT,ARR ARR
E_E,"700 Master's Research, Thesis, and/or Examination",01,01336,ARRGT,ARR ARR
E_E,"702 Master's Special Problems, Directed Study, and/or Examination",01,01337,ARRGT,ARR ARR
E_E,"800 Doctoral Research, Dissertation, and/or Examination",01,01338,ARRGT,ARR ARR
ECONS,101 [SSCI] Fundamentals of Microeconomics,01,01380,"TU,TH9.10-10.25",TCIC 216
ECONS,102 [SSCI] Fundamentals of Macroeconomics,01,01521,"TU,TH10.35-11.50",TCIC 216
ED_AD,501 Philosophy of Education,01,01584,W17.45-20.30,AMS TRI
ED_AD,501 Philosophy of Education,02,02199,TU17.45-20.30,TFLO 231
ED_AD,512 Leadership Studies for Social Justice,01,01237,TU17.45-20.30,AMS TRI
ED_AD,516 Instructional and Curricular Leadership,01,01494,M17.45-20.30,TFLO 239
ED_AD,580 School Organization and Administration,01,01542,TU17.45-20.30,AMS TRI
ED_AD,589 Leadership Development Seminar,01,01493,W17.45-20.30,TFLO 239
ED_AD,590 Internship,01,01238,SA9-14,TFLO 239
ED_AD,590 Internship,SA9-14,TFLO 239, ,""
ED_AD,590 Internship,SA9-14,TFLO 239, ,""
ED_AD,"702 Master's Special Problems, Directed Study, and/or Examination",01,01408,ARRGT,ARR ARR
ED_AD,"800 Doctoral Research, Dissertation, and/or Examination",01,01239,ARRGT,ARR ARR
ED_MTHSC,598 Research Seminar in Mathematics and Science Education,01,15632,W16.30-17.30,AMS TRI
ED_MTHSC,"800 Doctoral Research, Dissertation, and/or Examination",01,01678,ARRGT,ARR ARR
ED_PSYCH,"401 Classroom Assessment, Elementary",01,01545,W10.10-12.55,TFLO 231
ED_PSYCH,521 Topics in Educational Psychology,01,15574,W17.45-20.35,AMS TRI
ED_RES,"562 Epistemology, Inquiry, and Representation",01,15433,M17.45-20.30,AMS TRI
ED_RES,563 Principles of Research,01,02230,M17.45-20.30,AMS TRI
ED_RES,565 Quantitative Research,01,15637,TU17.45-20.30,AMS TRI
ED_RES,571 Doctoral Dissertation Preparation,01,15434,W17.45-20.30,AMS TRI
ED_RES,571 Doctoral Dissertation Preparation,02,15435,M17.45-20.30,AMS TRI
ENGLISH,101 [WRTG] College Composition,01,01451,"M,W,F10.10-11",TCIC 214
ENGLISH,101 [WRTG] College Composition,02,01452,"M,W,F11.10-12",TCIC 217
ENGLISH,101 [WRTG] College Composition,03,01453,"TU,TH10.35-11.50",TCIC 214
ENGLISH,101 [WRTG] College Composition,04,01454,"TU,TH12.05-13.20",TFLO 243
ENGLISH,102 Writing Tutorial,01,02218,TU10.35-11.25,TCIC 201E
ENGLISH,102 Writing Tutorial,02,02219,W11.10-12,TCIC 201E
ENGLISH,102 Writing Tutorial,03,02220,W13.10-14,TCIC 201E
ENGLISH,102 Writing Tutorial,04,02221,M10.10-11,TCIC 201E
ENGLISH,102 Writing Tutorial,05,02227,TH12.05-12.55,TCIC 201E
ENGLISH,102 Writing Tutorial,06,02228,TH15-15.50,TCIC 201E
ENGLISH,102 Writing Tutorial,07,02222,F11.10-12,TCIC 201E
ENGLISH,108 [HUM] Introduction to Literature,01,01381,"M,W,F9.10-10",TFLO 230
ENGLISH,202 Grammar in Context,01,16034,M9.10-10,TFLO 243
ENGLISH,202 Grammar in Context,02,16035,TU12.05-12.55,TFLO 230
ENGLISH,210 [HUM] Readings in American Literature,01,01526,"M,W,F9.10-10",TCIC 214
ENGLISH,301 [WRTG] Writing and Rhetorical Conventions,02,01908,ARRGT,ARR ARR
ENGLISH,302 [M] Introduction to English Studies,01,13127,"M,W,F12.10-13",TCIC 214
ENGLISH,360 Principles of Rhetoric,01,13125,"M,W,F11.10-12",TCIC 214
ENGLISH,361 Everyday Rhetorics,02,02301,ARRGT,ARR ARR
ENGLISH,372 [HUM] 19th Century Literature of the British Empire and the Americas,01,02049,"TU,TH9.10-10.25",TCIC 214
ENGLISH,402 [WRTG] [M] Technical and Professional Writing,01,01456,"M,W,F9.10-10",TFLO 240
ENGLISH,402 [WRTG] [M] Technical and Professional Writing,02,01457,"TU,TH13.30-14.45",TFLO 239
ENGLISH,402 [WRTG] [M] Technical and Professional Writing,03,01527,"M,W,F10.10-11",TFLO 240
ENGLISH,410 [CAPS] Cultural Criticism and Theory,01,16556,ARRGT,ARR ARR
ENGLISH,494 [CAPS] [M] Advanced Topics in Literature,01,01593,"TU,TH13.30-14.45",TCIC 214
ENGLISH,498 Internship,01,01382,ARRGT,ARR ARR
ENGLISH,499 Special Problems,01,01383,ARRGT,ARR ARR
ENGR,120 Innovation in Design,01,01282,M13.10-14,TEST 207
ENGR,120 Innovation in Design,01 Lab,01283,M10.10-13,TFLO 145
ENGR,120 Innovation in Design,02 Lab,01626,M15.10-18,TFLO 145
ENTOM,343 [M] General Entomology,01,01479,"TU,TH13.30-14.45",TFLO 252
ENTOM,460 Biotechnology and the Environment,01,02238,"M,W16.15-17.30",AMS TRI
FIN,223 [QUAN] Personal Finance,01,02142,"M,W,F11.10-12",TFLO 230
FIN,325 Introduction to Financial Management,01,01315,"TU,TH17.45-19",TFLO 230
FINE_ART,101 [ARTS] Introduction to Art,01,01398,"M,W,F10.10-11",TEST 208
FINE_ART,102 [ARTS] 2D Art and Design,01,02051,"M,W9.10-12",TCIC 102B
FINE_ART,111 Figure Drawing,01,13129,"TU,TH10.35-13.25",TCIC 102B
FINE_ART,201 [ARTS] World Art History I,01,01594,"M,W,F13.10-14",TFLO 133
FINE_ART,320 Beginning Painting,01,02270,"TU,TH13.30-16.20",TCIC 102B
FINE_ART,"331 Art, Science, and Technology",01,01462,"TU,TH10.35-11.50",TFLO 235
FINE_ART,498 [CAPS] [M] Contemporary Issues Seminar,01,02383,ARRGT,ARR ARR
FINE_ART,499 Special Problems,01,01399,ARRGT,ARR ARR
FOR_LANG,110 [DIVR] Introduction to Global Film,01,02068,"TU,TH12.05-13.20",TFLO 133
FS,401 Topics in Food Science,01,01737,TU13.30-14.30,TWSC 202
FS,465 Wine Microbiology and Processing,01,01227,"M,W,F12.10-13",AMS TRI
FS,496 Internship in a Winery,01,01410,ARRGT,ARR ARR
FS,501 Topics in Food Science,01,02128,ARRGT,ARR ARR
FS,501 Topics in Food Science,02,02129,ARRGT,ARR ARR
FS,565 Wine Microbiology and Processing,01,01409,"M,W,F12.10-13",AMS TRI
FS,"700 Master's Research, Thesis, and/or Examination",01,02107,ARRGT,ARR ARR
FS,"800 Doctoral Research, Dissertation, and/or Examination",01,02381,ARRGT,ARR ARR
H_D,101 [SSCI] Human Development Across the Lifespan,01,01847,ARRGT,ARR ARR
H_D,205 [COMM] Developing Effective Communication and Life Skills,01,01537,"TU,TH9.10-10.25",TFLO 131
H_D,205 [COMM] Developing Effective Communication and Life Skills,02,01538,"M,W,F9.10-10",TFLO 131
H_D,205 [COMM] Developing Effective Communication and Life Skills,01 Lab,01561,ARRGT,ARR ARR
H_D,205 [COMM] Developing Effective Communication and Life Skills,02 Lab,01562,ARRGT,ARR ARR
HBM,101 Professional and Career Development for the Business World,01,14750,ARRGT,ARR ARR
HBM,231 Introduction to Beverage Management,01,13170,"TU,TH12.05-13.20",AMS TRI
HBM,280 Hospitality Systems,01,01482,TH15.10-18,AMS TRI
HBM,280 Hospitality Systems,02,14752,ARRGT,ARR ARR
HBM,301 Introduction to Event Planning,01,14757,ARRGT,ARR ARR
HBM,350 Beverage Management,01,01547,TH17.45-20.30,TWSC 202
HBM,401 Career Management,01,13171,"M,W,F14.10-15",AMS TRI
HBM,490 Food and Beverage Operational Analysis,01,02029,"TU,TH10.35-11.50",AMS TRI
HISTORY,105 [ROOT] The Roots of Contemporary Issues,01,01463,"M,W,F9.10-10",TCIC 210
HISTORY,105 [ROOT] The Roots of Contemporary Issues,02,01464,"M,W,F13.10-14",TEST 208
HISTORY,110 [HUM] American History to 1877,01,01673,"M,W,F11.10-12",TFLO 244
HISTORY,110 [HUM] American History to 1877,02,02259,"M,W,F10.10-11",TFLO 244
HISTORY,120 [DIVR] World History I,01,01465,"M,W,F12.10-13",TFLO 131
HISTORY,235 [HUM] African American History,01,02055,"TU,TH9.10-10.25",TEST 208
HISTORY,272 [DIVR] Introduction to Middle Eastern History,01,02279,"TU,TH9.10-10.25",AMS TRI
HISTORY,300 [M] Writing about History,01,01241,"TU,TH10.35-11.50",TCIC 217
HISTORY,305 [ROOT] Roots of Contemporary Issues For Transfer Students,01,01529,"M,W16.15-17.30",TCIC 217
HISTORY,417 [CAPS] Rise of Modern America,01,13068,"M,W,F13.10-14",AMS TRI
HISTORY,455 The Great War 1914 - 1920,01,13130,"TU,TH13.30-14.45",TFLO 131
HISTORY,"466 History of the Cold War, 1944-present",01,14921,"M,W17.45-19",TCIC 217
HISTORY,498 History Internship,01,01466,ARRGT,ARR ARR
HISTORY,499 Special Problems,01,01468,ARRGT,ARR ARR
HISTORY,598 History Internship,01,01467,ARRGT,ARR ARR
HORT,102 Introduction to Cultivated Plants,01,01515,"M,W,F11.10-12",AMS TRI
HORT,310 Pomology,01,01242,"TU,TH13.30-14.45",AMS TRI
HORT,313 Viticulture,01,01243,"TU,TH14.55-16.10",AMS TRI
HORT,399 Professional Work Experience,01,01245,ARRGT,ARR ARR
HORT,409 Seminar in Viticulture and Enology,01,01247,W15.10-16,AMS TRI
HORT,418 [M] Post-harvest Biology and Technology,01,01249,"TU,TH10.35-11.25",AMS TRI
HORT,418 [M] Post-harvest Biology and Technology,01 Lab,01251,M14.50-17.40,TEST 113
HORT,435 Chemistry and Biochemistry of Fruit and Wine,01,02060,"M,W,F9.10-10",AMS TRI
HORT,495 Research Experience,01,01433,ARRGT,ARR ARR
HORT,518 [M] Post-harvest Biology and Technology,01,01250,"TU,TH10.35-11.25",AMS TRI
HORT,518 [M] Post-harvest Biology and Technology,01 Lab,01252,M14.50-17.40,TEST 113
HORT,535 Chemistry and Biochemistry of Fruit and Wine,01,02061,"M,W,F9.10-10",AMS TRI
HORT,"800 Doctoral Research, Dissertation, and/or Examination",01,16426,ARRGT,ARR ARR
HUMANITY,103 [HUM] Mythology,01,01400,"TU,TH12.05-13.20",TCIC 217
HUMANITY,302 [HUM] [M] Humanities in the Middle Ages and Renaissance,01,02265,"M,W,F13.10-14",TCIC 217
HUMANITY,350 Sacred Texts and Cultures of World Religions,01,01480,"TU,TH14.55-16.10",TCIC 217
I_BUS,380 International Business,01,14779,ARRGT,ARR ARR
I_BUS,482 [M] International Marketing,01,01630,"M,W17.45-19",TFLO 240
INTERDIS,"800 Doctoral Research, Dissertation, and/or Examination",01,01574,ARRGT,ARR ARR
ISE,300 INTRN'L EXCH,01,01232,ARRGT,ARR ARR
MATH,100 Basic Mathematics,01,02063,"M,W10.10-11",TCIC 101R
MATH,103 Algebra Methods and Introduction to Functions,01,01530,"TU,TH13.30-14.45",TEST 208
MATH,106 College Algebra,01,01470,"M,W,F9.10-10",TEST 208
MATH,108 Trigonometry,01,01471,"TU,TH12.05-12.55",TEST 207
MATH,171 [QUAN] Calculus I,01,01403,"M,W,F9.10-10",GUC TRI
MATH,171 [QUAN] Calculus I,01 Lab,01404,"TU,TH9.10-10.25",GUC TRI
MATH,172 Calculus II,01,01419,"M,W,F12.10-13",TEST 208
MATH,172 Calculus II,01 Lab,01420,"TU,TH12.05-13.20",TEST 208
MATH,201 Mathematics for Business and Economics,01,01405,"M,W,F12.10-13",TFLO 133
MATH,220 Introductory Linear Algebra,01,01406,"M,W13.10-14",TFLO 252
MATH,251 Fundamentals of Elementary Mathematics I,01,01548,"TU,TH17.45-18.35",TEST 208
